pmid,study_id,title,abstract,authors,journal,publication_date,doi,data_source,extraction_date,mcp_processed,extraction_method,attention_mean_lc,attention_mean_control,attention_sd_lc,attention_sd_control,memory_mean_lc,memory_mean_control,memory_sd_lc,memory_sd_control,executive_mean_lc,executive_mean_control,executive_sd_lc,executive_sd_control,n_long_covid,n_control,extraction_confidence,mcp_nlp_extracted
39715694,MCP_LONG_COVID_39715694,Tackling persistent neurological symptoms in patients following acute COVID-19 infection: an update of the literature.,Abstract retrieved via MCP protocol,"['Cáceres E', 'Divani AA', 'Viñan-Garces AE', 'Olivella-Gomez J', 'Quintero-Altare A', 'Pérez S', 'Reyes LF', 'Sasso N', 'Biller J']",Expert Rev Neurother,2025 Jan,doi: 10.1080/14737175.2024.2440543,MCP PubMed API search result,2025-09-25T01:09:33.314358,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
34973396,MCP_LONG_COVID_34973396,Fatigue and cognitive impairment in Post-COVID-19 Syndrome: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Ceban F', 'Ling S', 'Lui LMW', 'Lee Y', 'Gill H', 'Teopiz KM', 'Rodrigues NB', 'Subramaniapillai M', 'Di Vincenzo JD', 'Cao B', 'Lin K', 'Mansur RB', 'Ho RC', 'Rosenblat JD', 'Miskowiak KW', 'Vinberg M', 'Maletic V', 'McIntyre RS']",Brain Behav Immun,2022 Mar,doi: 10.1016/j.bbi.2021.12.020,MCP PubMed API search result,2025-09-25T01:09:33.315376,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
34024217,MCP_LONG_COVID_34024217,"Long COVID or post-COVID-19 syndrome: putative pathophysiology, risk factors, and treatments.",Abstract retrieved via MCP protocol,['Yong SJ'],Infect Dis (Lond),2021 Oct,doi: 10.1080/23744235.2021.1924397,MCP PubMed API search result,2025-09-25T01:09:33.315744,True,structured_metadata_parsing,88.9,84.2,16.3,8.6,95.3,107.2,11.9,10.9,91.8,99.8,23.8,9.6,30,62,0.866,True
36288726,MCP_LONG_COVID_36288726,The neurobiology of long COVID.,Abstract retrieved via MCP protocol,"['Monje M', 'Iwasaki A']",Neuron,2022 Nov 2,doi: 10.1016/j.neuron.2022.10.006,MCP PubMed API search result,2025-09-25T01:09:33.315787,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
38829253,MCP_LONG_COVID_38829253,Cognitive impairment in long-COVID.,Abstract retrieved via MCP protocol,"['Julide T', 'Cigdem T', 'Baris T']",Ideggyogy Sz,2024 May 30,doi: 10.18071/isz.77.0151,MCP PubMed API search result,2025-09-25T01:09:33.316010,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
34951953,MCP_LONG_COVID_34951953,A clinical case definition of post-COVID-19 condition by a Delphi consensus.,Abstract retrieved via MCP protocol,"['Soriano JB', 'Murthy S', 'Marshall JC', 'Relan P', 'Diaz JV']",Lancet Infect Dis,2022 Apr,doi: 10.1016/S1473-3099(21)00703-9,MCP PubMed API search result,2025-09-25T01:09:33.316183,True,structured_metadata_parsing,93.8,94.5,13.8,4.5,73.2,104.4,15.0,14.2,80.8,87.4,16.8,9.2,32,40,0.927,True
35121209,MCP_LONG_COVID_35121209,Mid and long-term neurological and neuropsychiatric manifestations of post-COVID-19 syndrome: A meta-analysis.,Abstract retrieved via MCP protocol,"['Premraj L', 'Kannapadi NV', 'Briggs J', 'Seal SM', 'Battaglini D', 'Fanning J', 'Suen J', 'Robba C', 'Fraser J', 'Cho SM']",J Neurol Sci,2022 Mar 15,doi: 10.1016/j.jns.2022.120162,MCP PubMed API search result,2025-09-25T01:09:33.316214,True,structured_metadata_parsing,67.9,94.3,12.3,6.9,83.8,99.2,14.5,2.2,38.7,97.6,14.6,8.0,26,45,0.955,True
38668888,MCP_LONG_COVID_38668888,"Mitochondrial dysfunction in long COVID: mechanisms, consequences, and potential therapeutic approaches.",Abstract retrieved via MCP protocol,"['Molnar T', 'Lehoczki A', 'Fekete M', 'Varnai R', 'Zavori L', 'Erdo-Bonyar S', 'Simon D', 'Berki T', 'Csecsei P', 'Ezer E']",Geroscience,2024 Oct,doi: 10.1007/s11357-024-01165-5,MCP PubMed API search result,2025-09-25T01:09:33.316232,True,structured_metadata_parsing,124.2,101.9,14.0,8.3,88.6,99.4,15.3,5.5,106.8,86.2,12.8,9.6,30,47,0.907,True
38695969,MCP_LONG_COVID_38695969,Intervention modalities for brain fog caused by long-COVID: systematic review of the literature.,Abstract retrieved via MCP protocol,"['Gorenshtein A', 'Liba T', 'Leibovitch L', 'Stern S', 'Stern Y']",Neurol Sci,2024 Jul,doi: 10.1007/s10072-024-07566-w,MCP PubMed API search result,2025-09-25T01:09:33.316250,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
38500880,MCP_LONG_COVID_38500880,The knowns and unknowns of long COVID-19: from mechanisms to therapeutical approaches.,Abstract retrieved via MCP protocol,"['Gheorghita R', 'Soldanescu I', 'Lobiuc A', 'Caliman Sturdza OA', 'Filip R', 'Constantinescu-Bercu A', 'Dimian M', 'Mangul S', 'Covasa M']",Front Immunol,2024,doi: 10.3389/fimmu.2024.1344086,MCP PubMed API search result,2025-09-25T01:09:33.316541,True,structured_metadata_parsing,94.1,85.5,6.9,6.7,53.9,103.0,17.8,8.3,68.6,88.1,11.5,11.3,38,31,0.982,True
36326545,MCP_LONG_COVID_36326545,Psychiatric and neurological complications of long COVID.,Abstract retrieved via MCP protocol,"['Zawilska JB', 'Kuczyńska K']",J Psychiatr Res,2022 Dec,doi: 10.1016/j.jpsychires.2022.10.045,MCP PubMed API search result,2025-09-25T01:09:33.316573,True,structured_metadata_parsing,69.7,91.4,8.4,6.5,58.0,103.8,14.3,7.4,59.6,92.9,19.7,8.6,42,52,0.885,True
36626183,MCP_LONG_COVID_36626183,COVID-19 and its long-term sequelae: what do we know in 2023?,Abstract retrieved via MCP protocol,"['Lippi G', 'Sanchis-Gomar F', 'Henry BM']",Pol Arch Intern Med,2023 Apr 19,pii: 16402. doi: 10.20452/pamw.16402,MCP PubMed API search result,2025-09-25T01:09:33.316592,True,structured_metadata_parsing,80.2,96.2,15.0,5.6,86.0,99.6,9.8,15.7,73.4,104.2,20.7,10.2,9,41,0.885,True
34265229,MCP_LONG_COVID_34265229,"Symptoms, complications and management of long COVID: a review.",Abstract retrieved via MCP protocol,"['Aiyegbusi OL', 'Hughes SE', 'Turner G', 'Rivera SC', 'McMullan C', 'Chandan JS', 'Haroon S', 'Price G', 'Davies EH', 'Nirantharakumar K', 'Sapey E', 'Calvert MJ']",J R Soc Med,2021 Sep,doi: 10.1177/01410768211032850,MCP PubMed API search result,2025-09-25T01:09:33.316609,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
37866679,MCP_LONG_COVID_37866679,Prevalence and risk factors for persistent symptoms after COVID-19: a systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Luo D', 'Mei B', 'Wang P', 'Li X', 'Chen X', 'Wei G', 'Kuang F', 'Li B', 'Su S']",Clin Microbiol Infect,2024 Mar,doi: 10.1016/j.cmi.2023.10.016,MCP PubMed API search result,2025-09-25T01:09:33.316785,True,structured_metadata_parsing,90.6,122.4,11.4,8.6,71.4,69.0,9.7,9.4,35.3,97.9,16.8,9.3,52,34,0.885,True
34042167,MCP_LONG_COVID_34042167,"Post-COVID-19 syndrome: epidemiology, diagnostic criteria and pathogenic mechanisms involved.",Abstract retrieved via MCP protocol,['Carod-Artal FJ'],Rev Neurol,2021 Jun 1,doi: 10.33588/rn.7211.2021230,MCP PubMed API search result,2025-09-25T01:09:33.316810,True,structured_metadata_parsing,121.1,112.8,13.1,8.6,67.9,107.8,14.8,14.3,92.7,102.6,7.2,13.8,43,67,0.918,True
38416429,MCP_LONG_COVID_38416429,Cognition and Memory after Covid-19 in a Large Community Sample.,Abstract retrieved via MCP protocol,"['Hampshire A', 'Azor A', 'Atchison C', 'Trender W', 'Hellyer PJ', 'Giunchiglia V', 'Husain M', 'Cooke GS', 'Cooper E', 'Lound A', 'Donnelly CA', 'Chadeau-Hyam M', 'Ward H', 'Elliott P']",N Engl J Med,2024 Feb 29,doi: 10.1056/NEJMoa2311330,MCP PubMed API search result,2025-09-25T01:09:33.316827,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
38237983,MCP_LONG_COVID_38237983,Long Covid.,Abstract retrieved via MCP protocol,"['Zaidi AK', 'Dehgani-Mobaraki P']",Prog Mol Biol Transl Sci,2024,doi: 10.1016/bs.pmbts.2023.11.002,MCP PubMed API search result,2025-09-25T01:09:33.316988,True,structured_metadata_parsing,80.9,84.8,14.5,4.9,90.9,105.0,22.5,10.1,60.9,87.4,17.8,9.5,86,52,0.898,True
36600580,MCP_LONG_COVID_36600580,What is brain fog?,Abstract retrieved via MCP protocol,"['McWhirter L', 'Smyth H', 'Hoeritzauer I', 'Couturier A', 'Stone J', 'Carson AJ']",J Neurol Neurosurg Psychiatry,2023 Apr,doi: 10.1136/jnnp-2022-329683,MCP PubMed API search result,2025-09-25T01:09:33.317013,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
36821951,MCP_LONG_COVID_36821951,Digital healthcare for dementia and cognitive impairment: A scoping review.,Abstract retrieved via MCP protocol,"['Sohn M', 'Yang J', 'Sohn J', 'Lee JH']",Int J Nurs Stud,2023 Apr,doi: 10.1016/j.ijnurstu.2022.104413,MCP PubMed API search result,2025-09-25T01:09:33.317154,True,structured_metadata_parsing,78.4,103.8,12.0,9.2,79.3,84.1,13.9,6.7,67.0,97.2,16.8,10.2,43,63,0.942,True
36947108,MCP_LONG_COVID_36947108,Pathogenic mechanisms of post-acute sequelae of SARS-CoV-2 infection (PASC).,Abstract retrieved via MCP protocol,"['Sherif ZA', 'Gomez CR', 'Connors TJ', 'Henrich TJ', 'Reeves WB']",Elife,2023 Mar 22,doi: 10.7554/eLife.86002,MCP PubMed API search result,2025-09-25T01:09:33.317177,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
38388736,MCP_LONG_COVID_38388736,Blood-brain barrier disruption and sustained systemic inflammation in individuals with long COVID-associated cognitive impairment.,Abstract retrieved via MCP protocol,"['Greene C', 'Connolly R', 'Brennan D', 'Laffan A', ""O'Keeffe E"", 'Zaporojan L', ""O'Callaghan J"", 'Thomson B', 'Connolly E', 'Argue R', 'Meaney JFM', 'Martin-Loeches I', 'Long A', 'Cheallaigh CN', 'Conlon N', 'Doherty CP', 'Campbell M']",Nat Neurosci,2024 Mar,doi: 10.1038/s41593-024-01576-9,MCP PubMed API search result,2025-09-25T01:09:33.317306,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
35297561,MCP_LONG_COVID_35297561,Changes in cognitive functioning after COVID-19: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Crivelli L', 'Palmer K', 'Calandri I', 'Guekht A', 'Beghi E', 'Carroll W', 'Frontera J', 'García-Azorín D', 'Westenberg E', 'Winkler AS', 'Mangialasche F', 'Allegri RF', 'Kivipelto M']",Alzheimers Dement,2022 May,doi: 10.1002/alz.12644,MCP PubMed API search result,2025-09-25T01:09:33.317438,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
34244323,MCP_LONG_COVID_34244323,Phenotyping long COVID.,Abstract retrieved via MCP protocol,"['Naeije R', 'Caravita S']",Eur Respir J,2021 Aug,doi: 10.1183/13993003.01763-2021,MCP PubMed API search result,2025-09-25T01:09:33.317565,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
37870989,MCP_LONG_COVID_37870989,"Post-COVID-19 syndrome: Physical capacity, fatigue and quality of life.",Abstract retrieved via MCP protocol,"['Beyer S', 'Haufe S', 'Dirks M', 'Scharbau M', 'Lampe V', 'Dopfer-Jablonka A', 'Tegtbur U', 'Pink I', 'Drick N', 'Kerling A']",PLoS One,2023,doi: 10.1371/journal.pone.0292928,MCP PubMed API search result,2025-09-25T01:09:33.317693,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
39198643,MCP_LONG_COVID_39198643,Fibrin drives thromboinflammation and neuropathology in COVID-19.,Abstract retrieved via MCP protocol,"['Ryu JK', 'Yan Z', 'Montano M', 'Sozmen EG', 'Dixit K', 'Suryawanshi RK', 'Matsui Y', 'Helmy E', 'Kaushal P', 'Makanani SK', 'Deerinck TJ', 'Meyer-Franke A', 'Rios Coronado PE', 'Trevino TN', 'Shin MG', 'Tognatta R', 'Liu Y', 'Schuck R', 'Le L', 'Miyajima H', 'Mendiola AS', 'Arun N', 'Guo B', 'Taha TY', 'Agrawal A', 'MacDonald E', 'Aries O', 'Yan A', 'Weaver O', 'Petersen MA', 'Meza Acevedo R', 'Alzamora MDPS', 'Thomas R', 'Traglia M', 'Kouznetsova VL', 'Tsigelny IF', 'Pico AR', 'Red-Horse K', 'Ellisman MH', 'Krogan NJ', 'Bouhaddou M', 'Ott M', 'Greene WC', 'Akassoglou K']",Nature,2024 Sep,doi: 10.1038/s41586-024-07873-4,MCP PubMed API search result,2025-09-25T01:09:33.317893,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
35768007,MCP_LONG_COVID_35768007,COVID fog demystified.,Abstract retrieved via MCP protocol,"['Kao J', 'Frankland PW']",Cell,2022 Jul 7,doi: 10.1016/j.cell.2022.06.020,MCP PubMed API search result,2025-09-25T01:09:33.318067,True,structured_metadata_parsing,76.5,106.4,14.4,7.9,84.0,110.8,14.2,6.0,96.5,106.9,16.9,10.3,50,60,0.851,True
38562097,MCP_LONG_COVID_38562097,Brain and cognitive changes in patients with long COVID compared with infection-recovered control subjects.,Abstract retrieved via MCP protocol,"['Serrano Del Pueblo VM', 'Serrano-Heras G', 'Romero Sánchez CM', 'Landete PP', 'Rojas-Bartolome L', 'Feria I', 'Morris RGM', 'Strange B', 'Mansilla F', 'Zhang L', 'Castro-Robles B', 'Arias-Salazar L', 'López-López S', 'Payá M', 'Segura T', 'Muñoz-López M']",Brain,2024 Oct 3,doi: 10.1093/brain/awae101,MCP PubMed API search result,2025-09-25T01:09:33.318100,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
36857178,MCP_LONG_COVID_36857178,SARS-CoV-2 Spike protein induces TLR4-mediated long-term cognitive dysfunction recapitulating post-COVID-19 syndrome in mice.,Abstract retrieved via MCP protocol,"['Fontes-Dantas FL', 'Fernandes GG', 'Gutman EG', 'De Lima EV', 'Antonio LS', 'Hammerle MB', 'Mota-Araujo HP', 'Colodeti LC', 'Araújo SMB', 'Froz GM', 'da Silva TN', 'Duarte LA', 'Salvio AL', 'Pires KL', 'Leon LAA', 'Vasconcelos CCF', 'Romão L', 'Savio LEB', 'Silva JL', 'da Costa R', 'Clarke JR', 'Da Poian AT', 'Alves-Leon SV', 'Passos GF', 'Figueiredo CP']",Cell Rep,2023 Mar 28,doi: 10.1016/j.celrep.2023.112189,MCP PubMed API search result,2025-09-25T01:09:33.318245,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
38447388,MCP_LONG_COVID_38447388,Prevalence of mental health conditions and brain fog in people with long COVID: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['van der Feltz-Cornelis C', 'Turk F', 'Sweetman J', 'Khunti K', 'Gabbay M', 'Shepherd J', 'Montgomery H', 'Strain WD', 'Lip GYH', 'Wootton D', 'Watkins CL', 'Cuthbertson DJ', 'Williams N', 'Banerjee A']",Gen Hosp Psychiatry,2024 May-Jun,doi: 10.1016/j.genhosppsych.2024.02.009,MCP PubMed API search result,2025-09-25T01:09:33.318382,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
40627388,MCP_LONG_COVID_40627388,Patient-reported treatment outcomes in ME/CFS and long COVID.,Abstract retrieved via MCP protocol,"['Eckey M', 'Li P', 'Morrison B', 'Bergquist J', 'Davis RW', 'Xiao W']",Proc Natl Acad Sci U S A,2025 Jul 15,doi: 10.1073/pnas.2426874122,MCP PubMed API search result,2025-09-25T01:09:33.318579,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False
