study_id,bias_domain_1,bias_domain_2,bias_domain_3,bias_domain_4,bias_domain_5,bias_domain_6,overall_bias_risk,confidence_rating,quality_score,study_design,neuropsychologist_blinding,control_matching
MCP_LONG_COVID_39715694,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34973396,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34024217,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36288726,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38829253,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34951953,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35121209,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38668888,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38695969,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38500880,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36326545,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36626183,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34265229,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_37866679,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34042167,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38416429,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38237983,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36600580,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36821951,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36947108,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38388736,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35297561,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_34244323,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_37870989,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_39198643,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_35768007,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38562097,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_36857178,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_38447388,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_LONG_COVID_40627388,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_1,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_2,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_3,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_4,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_5,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_6,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_7,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_8,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_9,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_10,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_11,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_12,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_13,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_14,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_15,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_16,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_17,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_18,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_19,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_20,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_21,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_22,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_23,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_24,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_25,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_26,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_27,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_28,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_29,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_EMBASE_30,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_1,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_2,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_3,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_4,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_5,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_6,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_7,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_8,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_9,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_10,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_11,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_12,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_13,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_14,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_15,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_16,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_17,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_18,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_19,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_20,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_21,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_22,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_23,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_24,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_25,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_26,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_27,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_28,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_29,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_COCHRANE_30,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_1,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_2,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_3,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_4,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_5,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_6,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_7,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_8,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_PSYCINFO_9,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_1,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_2,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_3,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_4,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_5,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_6,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_7,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_8,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
MCP_WEB OF SCIENCE_9,Low,Low,Some concerns,Low,Low,Low,Low,High,8,Observational cohort/case-control,Adequate,"Age, sex, education matched"
